Tweet,Tweet Datetime,Twitter Username,Twitter User Location
"Work related stress depends upon many factors. Connect with us to know more.
What is the #Delta variant of #COVID-19 with K417N mutation? https://t.co/VXaHs2xmPi - #USA #Trump #Biden #Yankees… https://t.co/QhRw1kwh8N,2021-06-24 00:55:45,Sheeba,
Update on the total number of #covid19 Deaths per capita reported in #African countries.",,,
"Top 5 countries as at ye… https://t.co/0JlOOy5T48""",2021-06-23 18:51:30,Beautify Data,"Miramar, Florida"
"Update on the total number of #covid19 cases per capita reported in #African countries. 
Top 5 countries as at yes… https://t.co/aNnnD2ySui",2021-06-23 18:50:30,Beautify Data,"Miramar, Florida"
"Update on the number of Active #covid19  cases in #Africa. 
As at yesterday, #SouthAfrica: 118,940 active cases, a… https://t.co/FWuiE8LcmE",2021-06-23 18:48:16,Beautify Data,"Miramar, Florida"
"Update on the total number of #covid19 Deaths reported in #Africa. 
As at yesterday, #SouthAfrica: 59,092 total de… https://t.co/nwjechGgMb",2021-06-23 18:46:11,Beautify Data,"Miramar, Florida"
"Update on the total number of #covid19 cases reported in #Africa by date. 
As at yesterday, #SouthAfrica: 1,843,57… https://t.co/cPxpLUbM8Y",2021-06-23 18:44:47,Beautify Data,"Miramar, Florida"
8D-RELAXING music nature sound audio 8D🎧 https://t.co/WX8CA21kgb via @YouTube #8dmusic #relaxingmusic #stressfree… https://t.co/4DbD63lBnm,2021-06-23 18:30:00,Music world (calm your mind),Tamil Nadu
"Despite growing evidence to the contrary, Tanzania's government continues to downplay the impact of coronavirus on… https://t.co/10ffCmLUYA",2021-06-23 14:52:00,HonorOurHeroes🇺🇸,USA
Coronavirus - Malawi: COVID-19 Daily Info Update (22 June 2021) @health_malawi #Africa #Malawi #Health… https://t.co/yHTmUOR9LD,2021-06-23 13:59:44,APO Group English,#AFRICA #MENA
Coronavirus – Eritrea: Announcement from the Ministry of Health (22 June 2021) @hawelti #Eritrea #Health #Pandemic… https://t.co/f61VaW3Rbt,2021-06-23 09:45:27,APO Group English,#AFRICA #MENA
"""The pandemic is worsening in #Africa as more-contagious coronavirus variants spread and hospitals in some places a… https://t.co/T4L55HPaf3",2021-06-23 08:36:31,Antonio Soriero,Roma
Coronavirus - Kenya: COVID-19 update (22 June 2021) @MOH_Kenya #Kenya #Health #Pandemic #COVID19 #Testing… https://t.co/s6reZTGkCQ,2021-06-23 06:50:39,APO Group English,#AFRICA #MENA
"#Rwanda 'Is Being Considered' for Covid-19 Vaccine Production Hub in #Africa 
https://t.co/WGihEqwUEo",2021-06-23 06:45:46,Seefinish Alt,
Coronavirus - South Africa: COVID-19 Statistics in South Africa (22 June 2021) @HealthZA #SouthAfrica #Health… https://t.co/WMRc4VLcWO,2021-06-23 06:39:12,APO Group English,#AFRICA #MENA
Coronavirus - Eswatini: COVID-19 daily info update (22 June 2021) @EswatiniGovern1 #Eswatini #Health #Pandemic… https://t.co/H9lx91edoc,2021-06-23 06:28:54,APO Group English,#AFRICA #MENA
Coronavirus - Rwanda: COVID-19 update (22 June 2021) @RwandaHealth #Rwanda #Health #Pandemic #COVID19 #Testing… https://t.co/8D6PKdcQea,2021-06-23 06:13:27,APO Group English,#AFRICA #MENA
"South African president, Cyril Ramaphosa, has welcomed the development and looks forward to a more responsible and… https://t.co/95EM6hczIi",2021-06-23 05:54:42,The TrYbe Africa,Africa 🌍
Top-20 23rd June 2021 7am IST 🇮🇳. https://t.co/lw8eGuvc38 #covid19 👉#wonderdrug saving #india #africa #latinamerica… https://t.co/1aKkzVDR1t,2021-06-23 03:07:57,Dr Ramesh Naidu Kataru,"Vishakhapatnam, India"
"#COVID19 is a fresh “nasty germ,“ for every continents and it is omnipresent; it’s swift &amp; flying wingless microorg… https://t.co/jppzlC1SH5",2021-06-23 01:27:44,gbussery,"California, USA"
"#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… https://t.co/IQ1ilJGoWl",2021-06-23 00:30:56,Lizzy Khumalo,"London, UK"
"#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… https://t.co/1KHjyg50ze",2021-06-23 00:30:52,Mary Asanga,Uyo
"#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… https://t.co/ymRM7OGHJ4",2021-06-23 00:30:50,UhusianoCapital,
"#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… https://t.co/Vx9VPYUOwL",2021-06-23 00:30:48,Tatiana Tati,"London, England"
"#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… https://t.co/LjFjwYQlI3",2021-06-23 00:30:46,Fabio Scala,"London, UK"
"#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… https://t.co/mcMprboiGt",2021-06-23 00:30:44,Rafael Carvalho,Portugal
"#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… https://t.co/VqGIivqg3D",2021-06-23 00:30:41,Emmanuel,"London, England"
"#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… https://t.co/5NVZrj7VkE",2021-06-23 00:30:18,Further Markets,"London, England"
"#WTO Director considering #SouthAfrica, #Senegal, #Rwanda and #Nigeria as #vaccine production hubs - #africa… https://t.co/rUxTDcPlSP",2021-06-23 00:30:10,Further Africa,"London, England"
